code,title
11,Agriculture Forestry Fishing and Hunting
111110,Soybean Farming
236220,"Commercial and Institutional Building Construction"
311111,Dog and Cat Food Manufacturing
321113,Sawmills
339999,All Other Miscellaneous Manufacturing
441110,New Car Dealers
454110,Electronic Shopping and Mail-Order Houses
481111,Scheduled Passenger Air Transportation
493110,General Warehousing and Storage
541211,Offices of Certified Public Accountants
621111,Offices of Physicians (except Mental Health Specialists)
722511,Full-Service Restaurants
811111,General Automotive Repair
